Feature,Target 1,Target 2,Target 3
Feature24,22.62790471283324,93.15020078793168,5.367030511650228
Feature9,34.2281265079273,426.6790834025287,278.02908229289096
Feature13,2.594112396329365,29.0765705608128,82.93716035738544
Feature27,10.516656896538734,-110.38686621933356,-33.83964574924539
Feature16,-7.126105294883928,202.6009831442316,17.531878830330243
Feature25,-8.192523897356295,152.88393922875366,8.567603861923999
Feature5,1.3367698018710144,-1.4397806113593106,53.24244445878139
Feature19,18.293088390275894,-66.56968814834545,61.924741939621526
Feature18,-5.303520336482961,109.8776022528482,31.03772781959742
Feature14,14.1074121690026,-146.8999658252651,-62.74926544835762
Feature4,-3.742881869334269,26.453536563521997,39.86332524711543
