Model,Target,RMSE
MLP,Target 1,57.67134052425301
LSTM,Target 1,58.51581444477716
TRANSFORMER,Target 1,59.41005436116894
MLP,Target 2,79.26925131002152
LSTM,Target 2,79.06418987139239
TRANSFORMER,Target 2,83.8768991847652
MLP,Target 3,103.8747835632494
LSTM,Target 3,103.63655059064362
TRANSFORMER,Target 3,109.96689142748308
