Feature,Target 1,Target 2,Target 3
Feature24,-4.650055145806164,58.83963227909862,22.463993687257243
Feature6,-1.5850404929756223,11.359389365628886,36.97311690625793
Feature9,29.1655287200565,224.9795433652571,300.29056379543
Feature8,-12.199727277683904,-17.30891682672336,35.060679632757456
Feature11,15.102250728053605,-8.107112384479478,-21.34282695778893
Feature16,-3.054359237022709,111.45806081859156,12.716616092753611
Feature25,8.057648397584217,65.6903410775567,13.31649940195348
Feature10,27.023698953472376,27.639014553245943,-11.492340641167177
Feature22,-38.16555881897966,28.10114009495373,46.92974084657362
Feature19,12.201411020328123,-13.122112244445816,9.454926716021872
Feature18,-9.188216664894751,52.87966191113719,-25.27204946783786
Feature4,-5.746888288042101,14.805023656641424,43.78142586591639
